id,name,collector,street,city,state,zip,phone,contact,instructions,created_at,updated_at,amenities,email,fax
15,1500 Maryland,Tom Burch @ 526-7221     REFERENCE ONLY,"","",Texas,"","","","",2012-07-16 10:53:00,2012-11-30 17:39:27,"",,
16,1505-1517 Potomac H.O.A.,Ali Farahbod,"5773 Woodway Drive, PMB 195",Houston,Texas,77057,713-304-7693,Ali or Sarah,"Sales & Refinances incur no fees. Include a copy of the  top portion of the closing statement.                                         2ND ASSN: WESTHAVEN ESTATES, SEC 2                                           2010 $1,000.00 PAINTING/ROOF FUND FEE DUE/PAID.",2012-07-16 10:53:00,2012-11-30 17:39:50,"",,
17,1512 Nantucket Property Owners Association,Chateau Construction,5525 Westheimer,Houston,Texas,77056,713-960-1221,Ali Etminan,Please include a copy of the top portion of the closing  statement.                                                                                                                                                                                                                                                                                                              COMMON SECURITY GATE.,2012-07-16 10:53:01,2012-07-16 10:53:01,,,
18,1516-1522 Nantucket (AKA: Westhaven Estates),Shel Mitelman,1520 Nantucket,Houston,Texas,77057,713-960-9383,,Include a copy of the top portion of the closing statement.                                                                                                                                                                                                                                                             LANDSCAPING ON COMMON AREAS.,2012-07-16 10:53:01,2012-07-16 10:53:01,,,
972,Colony Creek Community Service Association,N/A,N/A,N/A,Texas,"",N/A,"",SEE: FIRST COLONY COMMUNITY SERVICE ASSOCIATION,2012-07-16 11:00:57,2012-12-26 19:28:55,"",,
19,1518 Washington Condominiums,Marilyn Turboff,"","",Texas,"",599-8713,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT.   FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN    ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:02,2012-11-30 17:41:06,"",,
20,1526 Potomac Homeowners Association,Ronald Tonkin,1526 D Potomac,Houston,Texas,77057,713-977-1164,"","",2012-07-16 10:53:02,2012-11-30 17:41:22,"",,
70,"2507 Nantucket Estates, Westhaven Estates",N/A,N/A,N/A,Texas,N/A,Dennis Shea 954-4600,"",Include a copy of the top portion of the closing statement.,2012-07-16 10:53:24,2013-02-08 17:33:59,"",,
6,1112 A Thru D Nantucket,"","","",Texas,"","",Mrs. Cain 827-8218,"THIS ASSOCIATION IS CURRENTLY NOT ASSESSING AN ANNUAL MAINTENANCE FEE. WE SUGGEST ACQUIRING A A DOCUMENT SIGNED BY THE SELLER STATING NO FEES ARE PAID TO ANY ASSOCIATION; THEREFORE HOLDING HARMLESS ------------ TITLE AND MISI. SHOULD THE ASSOCIATION BEGIN ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:52:56,2018-04-13 19:59:26.90271,"","",""
22,1601 Nantucket Association,Suzanne Calhan,"","",Texas,"",526-3322,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT.   FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN   ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:03,2012-11-30 17:42:21,"",,
24,"1614 A Nantucket, Westhaven Estates",Gail Wernerberg,"","",Texas,"",784-0888,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT.   FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN    ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:03,2012-11-30 17:43:52,"",,
25,1616 Potomac,Mrs. Black,"","",Texas,"",789-8978,"","THIS ASSN. IS CURRENTLY NOT ASSESSING A MANDATORY MAINT. FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN   ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:03,2012-11-30 17:44:25,"",,
26,1620 Potomac,Mrs. Arnold Ostrin,1622 Potomac,Houston,Texas,77057,713-334-3905,Mrs. Arnie Ostin,Sales incur a $ 100.00 transfer fee.                     FEES ARE COLLECTED ON A AS NEEDED BASIS. OWNERS WILL BE CONTACTED WHEN        ADDITIONAL FUNDS ARE NEEDED.,2012-07-16 10:53:04,2012-11-30 17:57:09,"",,
27,1726 Broadway Condominiums,Rapp Management,1703 Broadway,Galveston,Texas,77550,409-763-4323,"","Collect 2 months in advance @ the monthly rate of $ VARIES. Insurance is thru John Austin, Lisa @ (409)740-12511. Sales incur a $ 50.00 transfer fee payable to Rapp Management. Refinances incur a $ 25.00   processing fee. If any documents are needed, there is a $ 100.00 fee. Include a copy of the top portion of the closing statement & Buyer's mailing",2012-07-16 10:53:04,2012-11-30 17:58:32,"LAUNDRY ROOM, COMMON GROUNDS ELECTRIC, ALL WATER, LANDSCAPING ON COMMON AREAS, TRASH PICK-UP AND CABLE.",,
30,"1805 Nantucket Dr. A/K/A Westhaven Estates, Sec.2",Betty Shindler,,,,,781-1354,,"THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT.   FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN   ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:05,2012-07-16 10:53:05,,,
31,1805 Potomac A,"","","",Texas,"","","",CURRENTLY NOT ASSESSING.,2012-07-16 10:53:05,2012-11-30 20:34:50,"",,
33,1841 Marshall Street Townhomes Homeowners Assn.,Penny Corden,P.O. Box 981053,Houston,Texas,77098-1053,of the new owner.,"",Include a copy of the top portion of the closing statement including the mailing address & phone number of the new owner.  Insurance is individually acquired. Utilities are billed separately by the HOA. Upon receipt it is the owners responsibility to pay these amounts.  Average bill including monthly assessment can typically run about $VARIES P/M.,2012-07-16 10:53:06,2013-02-01 19:07:04,"",,
37,1912 Calumet Place,Sarah Phillips,1912 Calumet # D,Houston,Texas,77004,713-630-0152,"",Include a copy of the top portion of the closing         statement.                                                        Insurance is thru Bryan Rhames @ 713-627-8711,2012-07-16 10:53:09,2012-11-30 20:40:25,"",,
57,2301 Nantucket Townhome Association,John Watkins - Pres,2301-C Nantucket,Houston,Texas,77057,713-781-5851,"",Insurance is individually acquired. Include a copy of thetop portion of the closing statement.,2012-07-16 10:53:18,2012-12-03 16:27:44,"",,
21,"1531 Marshall Street Townhome Association, Inc",Don Dahn,3605 Saddle Drive,Columbus,Indiana,47203,713-724-4391,"","Sales incur a $50.00 Transfer Fee payable to the Association. Refinances incur no other fees. On sales, collect 2 months advance at the current monthly assessment listed above. At closing, include a copy of the top portion of the closing statement.",2012-07-16 10:53:03,2015-08-10 15:09:43.672387,"","",""
41,1956 West Bell,"","","",Texas,"","","",THIS ASSN IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT FEE.WE SUGGEST ACQUIRING A DOCUMENT SIGNED BY THE SELLER STATING NO FEES ARE PAID TO ANY ASSN; THEREFORE HOLDING HARMLESS XXXXXXXXXXXX TITLE & MISI SHOULD THE  ASSN BEGIN ASSESSING IN THE FUTURE. MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.,2012-07-16 10:53:10,2012-11-30 20:42:59,"",,
44,2001 Nantucket Townhome Association,Jeb Waite,2001-C Nantucket Drive,Houston,Texas,77057,713-805-0607,"","For closing information, contact Jeb Waite directly. E-mail: jwait@sbcglobal.net. Include a copy of the top portion of the closing statement.",2012-07-16 10:53:12,2013-02-28 22:12:28,"",,
28,177 Lake Estates Association,Jennifer Trull,P O Box 616,Montgomery,Texas,77356,713-702-5496,"","Sales incur a $150.00 Transfer Fee payable to the association. Refinances incur $100.00 Processing Fee. At closing, include a copy of the top portion of the closing statement with remittance.",2012-07-16 10:53:05,2017-04-17 15:21:37.640529,"",jennosten@gmail.com,""
49,21 North Wynden H. O. A.,Lori Machiorlette,"21 N. Wynden Drive, #10",Houston,Texas,77056,713-660-0025,"","Sales & refinances incur no other fees. Gate remote and/or gate codes should be provided by the SELLER. If not, contact Mrs. Machiorlette. At closing, please include a copy of the top portion of the closing statement.",2012-07-16 10:53:14,2017-04-24 18:02:19.475561,"",lori@worthhp.com,""
32,1829 Bering Drive Townhomes Association,K R J Management,1800 Augusta #200,Houston,Texas,77057,713-783-4640,"","CLOSING INFORMATION MUST BE SECURED DIRECTLY BY SUBMITTING A REQUEST THROUGH www.homewisedocs.com. AT CLOSING, INCLUDE A COPY OF THE TOP PORTION OF THE CLOSING STATEMENT, WITH REMITTANCE.",2012-07-16 10:53:06,2018-07-06 17:35:07.957198,"","",""
129,Aberdeen Green H O A,High Sierra Management,P.O. Box 940267,Houston,Texas,77094,866-844-3933,8/13,"CLOSING INFORMATION MUST BE SECURED DIRECTLY BY SUBMITTING A REQUEST THROUGH www.homewisedocs.com.  FOR TECHNICAL ASSISTANCE WITH THIS WEBSITE, CALL TOLL FREE : 1-866-925-5004.  PAYMENT MAY BE REQUIRED AT TIME OF REQUEST.  AT CLOSING, INCLUDE A COPY OF THE TOP PORTION OF THE CLOSING STATEMENT, WITH REMITTANCE.",2012-07-16 10:53:50,2018-01-17 22:30:44.786988,"","",""
50,21 Seville Homes Association,Mike Overbey,1280 Braesforest Dr. #201,Houston,Texas,77071,: 713-272-7133,Mike,Collect 2 months in advance @ the monthly rate of        $ VARIES. Insurance is thru GEM AGENCY (Sherrie) @ 713-622-2330.              Sales incur a $ 75.00 transfer fee.  Refinances incur no fee.  Include a copy of the top portion of the closing statement.,2012-07-16 10:53:15,2012-12-03 16:19:28,"",,
53,2120 B Potomac Homeowners Association,Mr. Ali Afshari,"","",Texas,"",713-780-7731,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT.   FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE OWNER  THAT THE OWNER  IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN     ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.    *****SEE ALSO WESTHAVEN ESTATES BLOCK 3, SEC. 1 P. O. A.",2012-07-16 10:53:15,2012-12-03 16:23:48,"",,
54,2214 Nantucket Property Owners Association,Max R. Epperson,2214 Nantucket # B,Houston,Texas,77057,713-783-0874,"","Collect 2 months in advance @ the monthly rate of $ VARIES. Insurance is thru                                               Please include a copy of the top portion of the closing statement.            (DRIVEWAY REPAIRS $ 24,000.00 CHECK EACH TIME FOR THE SELLERS PORTION)                                                                                      LANDSCAPING ON COMMON AREARS.",2012-07-16 10:53:16,2012-12-03 16:25:18,"",,
55,2215 & 2217 Potomac/Westhaven Estates,Mrs. DeVries,N/A,N/A,Texas,N/A,861-4180,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINTENANCE FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:17,2013-02-08 17:31:29,"",,
94,5025 Riverway Association,K.R.J.,1800 Augusta # 130,Houston,Texas,77057,713-783-4640,"","Collect 2 months in advance at the rate of $ xxx.xx P/M. Sales incur a $ 50.00 transfer fee payable to KRJ.  Refinances incur a $ 15.00processing fee.  Insurance is thru U S I, Dottie @ 281-496-3400. Include a copy of the top portion of the closing statement.",2012-07-16 10:53:34,2012-12-03 17:23:30,"",,
40,1924 South Blvd. H.O.A.,Dr. Bruce Parker,1924 South Boulevard # C,Houston,Texas,77006,713-520-0818,"",Sales & refinances do not require any bookeeping fees. Include a copy of the top portion of the closing statement.,2012-07-16 10:53:10,2013-07-22 20:36:20.309874,"",,
51,2100 Commonwealth Townhome Owners Association,Elite Association Management,"11231 Richmond Avenue, Suite D108",Houston,Texas,77082,832-660-0700,7/13,"Sales incur a $175.00 Transfer Fee payable to Elite Association Management + $25.00 quote fee.  Refinances incur a $150.00 Processing Fee + $25.00 quote fee. ON SALES, collect 2 months advance at the current monthly rate as of the date of this report.  Insurance is thru USI @ 281-496-3400.  At closing, include a copy of the top portion of the closing statement with remittance.",2012-07-16 10:53:15,2015-04-16 02:50:35.883519,"","",""
77,"2600 Nantucket Homeowners Association, Inc.",Bobby Lorino,"2600 Nantucket Drive, #B",Houston,Texas,77057,713-419-4370,"","Sales & Refinances incur no other fees. At closing, please send a copy of the top portion of the closing statement for records.",2012-07-16 10:53:26,2015-12-03 21:47:59.282706,FEES COVER UPKEEP AND TAXES FOR COMMON AREAS ONLY,"",""
2210,"Kingsbridge Community Association, Inc.",High Sierra Management,P.O. Box 940267,Houston,Texas,77094,866-844-3933,"","CLOSING INFORMATION MUST BE SECURED DIRECTLY BY SUBMITTING A REQUEST THROUGH www.homewisedocs.com.  FOR TECHNICAL ASSISTANCE WITH THIS WEBSITE, CALL TOLL FREE : 1-866-925-5004.  PAYMENT MAY BE REQUIRED AT TIME OF REQUEST.  AT CLOSING, INCLUDE A COPY OF THE TOP PORTION OF THE CLOSING STATEMENT, WITH REMITTANCE.",2012-07-16 11:11:55,2014-11-06 16:22:44.280669,"","",""
39,1919 University Condo,Margaret Sheely,1714 Surrey Court,Richmond,Texas,77406,713-826-6183,"",Sales and Refinances incur no other fees at this time. Please send a copy of the top portion of the closing statement for records.                               ,2012-07-16 10:53:10,2016-12-12 16:08:00.690622,"TRASH PICK-UP, LANDSCAPING ON COMMON AREAS AND REPAIRS ON COMMON AREAS. ONLY 9 UNITS","",""
52,2118 Nantucket T/H,see WESTHAVEN ESTATES SECTION 1 POA,2118D Nantucket,Houston,Texas,"","","","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT.   FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT    FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN    ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:15,2016-11-15 17:25:15.51706,"","",""
59,2313 Nantucket Townhome Association,Rosamond Gunter,2313 A Nantucket,Houston,Texas,77057,713-226-9151,,Please include a copy of the top portion of the closing  statement.                                                                                                                                                                                                                                                                                                              LANDSCAPING ON COMMON AREAS AND ANY SPECIAL PROJECTS.,2012-07-16 10:53:19,2012-07-16 10:53:19,,,
62,2402 Potomac Association,N/A,N/A,N/A,Texas,N/A,N/A,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINTENANCE FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:21,2013-02-08 17:25:09,"",,
67,2503 Potomac A - Westhaven Estates,Mrs. Chris Lee,N/A,N/A,Texas,N/A,789-7139,"","THIS ASSN. IS CURRENTLY NOT ASSESSING A MANDATORY MAINTENANCE FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:22,2013-02-08 17:33:09,"",,
68,2505 Potomac - B/Westhaven Estates,N/A,N/A,N/A,Texas,N/A,N/A,"","THIS ASSN. IS CURRENTLY NOT ASSESSING AN ANNUAL MAINTENANCE FEE AS OF THE DATE OF THIS REPORT; WE SUGGEST ACQUIRING A SIGNED STATEMENT FROM THE SELLER THAT THE SELLER IS CURRENTLY NOT PAYING ANY FEES TO ANY ASSN.,THEREFORE HOLDING HARMLESS XXXXXXXXX TITLE AND MISI. SHOULD THE ASSN. BEGIN ASSESSING IN THE FUTURE, MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:23,2013-02-08 17:33:34,"",,
69,2507 Capitol Condos,Rick,"2507 Capital, # A",Houston,Texas,77003,713-459-6713,,Please collect a nonrefundable fee 3 months in advance   @ the rate of $ VARIES upons resale if owner is current. Please include a copyof the top portion of the closing statement.,2012-07-16 10:53:23,2012-07-16 10:53:23,,,
75,"2535 Nantucket, Nantucket Court Owners Assn.",Don Johnson,2435 Nantucket,Houston,Texas,77057,713-789-6745,,"Please include a copy of the top portion of the closing  statement.                                                                                                                                                                                                                                                                                                              LANDSCAPING, MOWING, LIABILITY INSURANCE, ROOFING AND ELECTRIC BILL FOR COMMON AREAS.",2012-07-16 10:53:26,2012-07-16 10:53:26,,,
2408,Landing/Grants Lake Community Service Association,N/A,N/A,N/A,Texas,N/A,N/A,"",SEE FIRST COLONY C.S.A.,2012-07-16 11:13:43,2013-01-30 16:13:44,"",,
5887,The Tree Tops @ Post Oak Condos (AKA The Park @ Briar Hollow Condo Association),High Sierra Management,P.O. Box 940267,Houston,Texas,77094,281-391-7914,"","CLOSING INFORMATION MUST BE SECURED DIRECTLY BY SUBMITTING A REQUEST THROUGH www.homewisedocs.com.  FOR TECHNICAL ASSISTANCE WITH THIS WEBSITE, CALL TOLL FREE : 1-866-925-5004.  PAYMENT MAY BE REQUIRED AT TIME OF REQUEST.  AT CLOSING, INCLUDE A COPY OF THE TOP PORTION OF THE CLOSING STATEMENT, WITH REMITTANCE.",2014-02-13 18:13:43.14502,2015-11-23 20:06:31.804719,"","",""
58,2309 Nantucket Townhome Association,Carl Isgren,2309 C - Nantucket,Houston,Texas,77057,281-888-6626,"",Please include a copy of the top portion of the closing statement. ** Status of account was secured from the H/O who is the current treasurer. Mr. Isgren will take the position following Ms. Willis' sale. **,2012-07-16 10:53:18,2014-04-09 21:01:21.370257,LANDSCAPING ON COMMON AREAS AND ANY SPECIAL PROJECTS.,"",""
71,2511 Nantucket Townhome Association,Sheryl Hall,2511-A Nantucket Drive,Houston,Texas,77057,832-741-3094,"","Sales & Refinances incur no other fees. At closing, please send a copy of the top portion of the closing statement for records.",2012-07-16 10:53:24,2014-04-16 17:22:47.947557,"","",""
72,2514 Potomac Maintenance Fund,Cheryl Bac,2514-F Potomac,Houston,Texas,77057,713-216-7467,"",Sales and Refinance incur no other fees. Please include a copy of the top portion of the closing  statement.,2012-07-16 10:53:24,2014-08-27 20:23:50.43446,"","",""
65,2428-2434 Potomac H.A.,N/A,N/A,N/A,Texas,N/A,N/A,"","THIS ASSOCIATION IS INACTIVE AS AN ASSESSING ENTITY, HOWEVER THE HOMEOWNERS HAVE AN AGREEMENT TO SHARE EQUALLY ANY EXPENSES FOR COMMON AREAS. WE SUGGEST ACQUIRING A DOCUMENT TO BE SIGNED BY THE SELLER STATING THAT NO FEES ARE PAID TO ANY ASSN; THEREFORE HOLDING HARMLESS XXXXXXXX TITLE AND  MISI SHOULD THE ASSN BEGIN ASSESSING IN THE FUTURE. MISI IS NOT RESPONSIBLE   FOR ANY RETROACTIVE FEES.",2012-07-16 10:53:22,2016-09-27 21:37:24.258913,"","",""
66,"2429 Nantucket - A, B & C a/k/a Westhaven Estates, Section 1",N/A,N/A,N/A,Texas,N/A,N/A,"","THERE ARE ONLY 3 TOWNHOMES LOCATED @ THIS PROPERTY. IT IS THE RESPONSIBILITY OF THE HOMEOWNER FOR THE UPKEEP OF THEIR TOWNHOME & ITS COMMON AREAS. THEREFORE, NO MAINTENANCE FEES ARE ASSESSED. THIS ASSOCIATION   HAS NEVER BEEN ACTIVE.",2012-07-16 10:53:22,2016-03-31 03:07:04.835958,"","",""
63,2414-18 Quenby H O A,N/A,N/A,N/A,Texas,N/A,N/A,April 2016,THIS ASSN IS CURRENTLY NOT ASSESSING AN ANNUAL MAINT FEE.WE SUGGEST ACQUIRING A DOCUMENT SIGNED BY THE SELLER STATING NO FEES ARE PAID TO ANY ASSN; THEREFORE HOLDING HARMLESS XXXXXXXXXXXX TITLE & MISI SHOULD THE  ASSN BEGIN ASSESSING IN THE FUTURE. MISI IS NOT RESPONSIBLE FOR RETROACTIVE   FEES.,2012-07-16 10:53:21,2016-04-27 18:03:09.483014,"4-27-16 per listing on 2414 Quenby St. # D, there is no active HOA. ","",""
79,2608A - 2608D Nantucket H.A.,Gabriel Homes,P.O. Box 130270,Houston,Texas,77219,713-861-8613,"",THIS ASSN IS CURRENTLY NOT ASSESSING AN ANNUAL MAINTENANCE FEE. WE SUGGEST ACQUIRING A DOCUMENT SIGNED BY THE SELLER STATING THAT NO FEES ARE PAID TO ANY ASSN; THEREFORE HOLDING HARMLESS XXXXXXXXXXXX TITLE & MISI SHOULD THE ASSN BEGIN ASSESSING IN THE FUTURE. MISI IS NOT RESPONSIBLE FOR ANY RETROACTIVE FEES.,2012-07-16 10:53:27,2013-04-25 17:14:48,"",,
80,2711 Grants Lake Community Service Association,"","","",Texas,"","","",SEE ALSO: FIRST COLONY C.S.A AND FOR THE 2ND ASSOCIATION SEE: GRANTS LAKE TEMPOS T/H ASSN. OR GRANTS LAKE CONDOMINIUMS,2012-07-16 10:53:27,2013-02-08 17:35:01,"",,
86,339-B13 Residential Townhome Association Inc.,Joe Gasky,P.O. Box 247,Bellaire,Texas,77401,713-778-0119,Pamela 578-8757 or 1724,Please include a copy of the top portion of the closing  statement.,2012-07-16 10:53:31,2012-12-03 17:16:06,"",,
87,359 Post Oak Lane Owners' Association,Jana,359 North Post Oak Lane Suite 128,Houston,Texas,77024,713-681-9714,"","Blanket insurance thru Emmett and Chandler, Melba Monroe at 526-5106. Please include a copy of the top portion of the closing statement.",2012-07-16 10:53:31,2012-12-03 17:17:24,"",,
